permission,value,title
CREATE_INSTANT_INVITE,1,Create Invite
KICK_MEMBERS,2,Kick Members
BAN_MEMBERS,4,Ban Members
ADMINISTRATOR,8,Administrator
MANAGE_CHANNELS,16,Manage Channels
MANAGE_GUILD,32,Manage Server
ADD_REACTIONS,64,Add Reactions
VIEW_AUDIT_LOG,128,View Audit Log
PRIORITY_SPEAKER,256,Priority Speaker
STREAM,512,Stream
VIEW_CHANNEL,1024,View Channel
SEND_MESSAGES,2048,Send Messages
SEND_TTS_MESSAGES,4096,Send TTS Messages
MANAGE_MESSAGES,8192,Manage Messages
EMBED_LINKS,16384,Embed Links
ATTACH_FILES,32768,Attach Files
READ_MESSAGE_HISTORY,65536,Read Message History
MENTION_EVERYONE,131072,Mention @everyone
USE_EXTERNAL_EMOJIS,262144,Use External Emojis
VIEW_GUILD_INSIGHTS,524288,View Guild Insights
CONNECT,1048576,Connect
SPEAK,2097152,Speak
MUTE_MEMBERS,4194304,Mute Members
DEAFEN_MEMBERS,8388608,Deafen Members
MOVE_MEMBERS,16777216,Move Members
USE_VAD,33554432,Use Voice Activity
CHANGE_NICKNAME,67108864,Change Nickname
MANAGE_NICKNAMES,134217728,Manage Nicknames
MANAGE_ROLES,268435456,Manage Roles
MANAGE_WEBHOOKS,536870912,Manage Webhooks
MANAGE_EMOJIS_AND_STICKERS,1073741824,Manage Emojis And Stickers
USE_APPLICATION_COMMANDS,2147483648,Use Application Commands
REQUEST_TO_SPEAK,4294967296,Request To Speak
MANAGE_THREADS,17179869184,Manage Threads
CREATE_PUBLIC_THREADS,34359738368,Create Public Threads
CREATE_PRIVATE_THREADS,68719476736,Create Private Threads
USE_EXTERNAL_STICKERS,137438953472,Use External Stickers
SEND_MESSAGES_IN_THREADS,274877906944,Send Messages In Threads
START_EMBEDDED_ACTIVITIES,549755813888,Start Activities
